question,A,B,C,D,correct
The artist was almost finished with his marble statue. The artist,threw the statue down the stairs.,put acid onto the statue.,chiseled away rock carelessly.,began to polish the statue.,D
"It was Christmas Eve and in the North Pole, Santa was",petting a camel.,getting ready to hibernate.,eating Rudolph's daughter for dinner.,loading his sleigh.,D
The professional golfer went to the course to practice. He,putted well,practiced putting away the green cart,practiced basketball,shot a little birdie,A
The hammer then goes into the field as officials go to see where it lands. The cameras now,and flags are displayed in the court.,show the emotional athlete walking around the event area.,show the man as the player off his serve.,shows the bomb driving back and forth.,B
A jogger runs past two intersections and make a left at a stop sign. She,drives until the next intersection,runs for two more miles,makes a halting stop then turns on her break lights,signals an illegal turn then reverses,B
The jacket is keeping the man warm. The man,is cold.,is in the fridge.,will be cold.,was cold.,D
"After nearly hurting his knee, Johnson",got married.,pledged to be more cautious.,decided he ought to be more reckless.,became an astronaut.,B
"At night, a dog is sleeping out of building. It",sleeps with its family.,is eating food.,leaps through the air and catches the frisbee in its mouth.,is trying to catch a rabbit.,A
Rose is walking her dog. She,is a cocker spaniel.,enjoys the fresh air.,wags her tail happily.,chases the squirrel on the sidewalk.,B
The graduation ceremony was so boring. My parents,peed their pants.,flew away.,partied.,fell asleep during it.,D
Steph likes everything about Northwestern University. Steph,wants to buy the university.,enjoys his classes.,eats so much food.,is always hungry.,B
Susan really liked the beat coming from the bass. She,covered her ears.,set up another fishing rod.,turned off the stove and began to eat it.,started to dance.,D
Anne got hitched a few days after her 35 birthday. She wore a beautiful dress and was surrounded by her friends and family. She ate a,wedding cake.,birthday cake.,hot dog.,carrot cake.,A
John is playing a board game with his friends. He,folds up the board.,uses the board to make a fort.,rolls the die.,jumps on the board.,C
My mom has a trick for the best cake. She,adds numbers.,washes her hands.,uses extra egg.,is loving.,C
The boy waits in a long line for the bathroom at the stadium. He,buys an outhouse with his own money.,misses part of the game.,is about to take a shower.,takes his dog for a walk.,B
Jimmy gets into a bad car crash and doesn't have any health or auto insurance. He,is injured,should call the police the next day,will have to pay a lot of money to cover the cost,should call his mom about the issue,C
There is a dog sitting by the window. The dog,morphs into a dog who looks outside.,is looking outside happily.,is bouncing up and down.,smells terrible.,B
A boy sitting on his bed and has his laptop on his outstretched legs. He,starts to shake his butt.,jumps up in surprise.,starts shaking his legs.,starts to kiss himself.,C
Evan is allergic to flowers' pollen. Evan,pretty likes flowers especially with pollen,grows many flowers with pollen in his garden,does not grow any plants,often receives many flowers with pollen from his friends,C
Alice walked home with a slump in her shoulders after failing a test. Alice,questioned her own ethics.,was scared of seeing her dog happy.,was afraid her parents would scold her.,laughed at her brother for getting a perfect score.,C
The man is performing magic on stage. He,is training for a marathon in magicville.,attends school to learn magic.,pulls the cat out of a bag.,is eating dinner with his friend.,C
"Math is Tom's favorite subject, he",loves Taylor Swift's songs.,hates calculus.,admires Gauss very much.,is very bad at counting.,C
The man is sharing some pasta with his date. His date,stood him up.,looks lovingly into his eyes.,is not there.,has to be postponed.,B
"Alice likes to cook at home, but the refrigerator is empty. So she will",start cooking in the kitchen.,watch TV.,eat out.,walk a dog.,C
A man gets pumped up to do a long jump then does it. Others,look at him in awe and rush to their homes feeling hungry.,prance around as others follow them.,"maneuver three legs up, then flip over the trampoline, using kicks and feet from doing together.",do a routine in the field.,D
The biker played against some strangers in pool. The biker,drowned,drowned the strangers,barely won by 1,brought some inflatables,C
The sisters have to do the housework together. They,want the house to get caught on fire.,want their mom to cry.,will go to the mall afterwards.,clean the counter with acid.,C
Buster was so anti-Semitic that he,believed he was not a racist.,was not known as a bigot.,developed a reputation for being kind-hearted.,discriminated against the Jews.,D
A large plane is roaming over the city. The plane,dips its nose down and start descending towards the buildings.,leaves a trace of white smoke from its engines as it glides.,starts performing acrobatics.,dramatically explodes in the sky and its pieces start raining on top of the buildings.,B
Chicago is in Illinois. Illinois,is famous.,contains city Chicago.,is richer.,is the capital.,B
"At the front door, someone takes out his tube of shrinking paste. Shaking his head skeptically, someone",glances aside for the old kitchen.,offers his own cash.,opens it and takes out the spray bottle.,twists the cap off the tube.,D
"Lee has just finished a race, he",can't stop crying.,eats his hands.,runs across the sea.,is out of breath.,D
The teenager storms off to their room and slams the door. They,are happy they have such loving parents.,don't get why no one gets them.,want to make sure the hinges of the door are lubricated.,can't wait to lie down with a good book.,B
The man was with his wife at a picnic outside. The wife,is teaching at her office.,is getting married to her husband tomorrow in a venue next to the picnic.,was talking about her day.,is cleaning the house.,C
Rajeev is a bad student. He,fails a class.,passes his classes.,teaches a class.,takes a college class.,A
I liked a girl in my class and wanted to take her to dinner. I,profess my love for the diner,profess my apathy for the girl,take the dinner to the girl,take the plunge and just ask courageously,D
"Tom likes beef and Tony dislikes pork, so when dating they usually eat",pork,vegetables and pork,beef and pork,beef,D
I can't believe that this movie,won such a beautiful award.,smelled so bad.,washed my clothes for me.,beat up the other movie.,A
A boxer picks up his jump rope. The boxer,kills his jump rope.,punches his opponent.,jumps on his opponent.,starts to jump.,D
A college student was working on an overdue term paper. She turned it in,before the deadline.,to the professor.,at the deadline.,after the deadline.,D
I was naughty this year. Santa,got sick.,fell over.,left me coal.,ran away.,C
Because she had become accustomed to the violence in her neighborhood.,she always ordered a taxi home at night.,walked home by herself so she was safe.,gave a gun to every stranger she saw.,punched people when she saw them.,A
A dog and a cat and a horse are land creatures. They,all have the same speed.,fly through the air.,all have the same size.,do not have gills like fish.,D
"John hates to see his patients in pain during surgery. So, he",stitches them up hastily.,murders them.,gives them anesthetic.,kisses them.,C
"For the holidays, I eat a lot of food. I",donated a sweater,planted a flower,love gingerbread cookies best,lost weight,C
Dilip is an ambitious man. His dreams,took a crazy direction,consist of potatoes,know no bounds.,haunt him,C
Rick is in 1st grade but wants to study physics in college. He,discovers the Higgs Boson particle.,mixes chemicals in his laboratory.,discovers an equation for gravity.,reads from his textbook about Newton's laws.,D
I buy lemonade from the store and drank it. I,turn on the light.,eat lemons.,make lemonade.,finished the bottle.,D
Justin is at a swimming race and gets ready. He,can't wait to start jumping into the pool,swims into his dreams,waits for the start sound and prepares,waits for his mom to watch him swim,C
The dog is running. The dog,buys running shoes.,buys a hot dog.,gets tired.,isn't running.,C
I am always very hungry before I go to bed. I am,concerned that this is an illness.,glad that I do not have a kitchen.,fearful that there are monsters under my bed.,tempted to snack when I feel this way.,D
"Because I never turned in my TB confirmation test, my school",failed me in all my classes.,forced me to play for the school football team,put a hold on my account.,gave me a free burrito,C
I started dancing in front of my friend. She,made her favorite dog dance along as well.,started dancing as well.,slapped me in the face for the unsolicited dancing.,cry,B
Elijah had a party. Elijah,attacks his home,is a dog,had live music,invited his water bottle,C
The spy sneaks picks the lock on the doors. The spy,slips in unnoticed.,calls to ask if anyone is home.,eats his lunch.,knocks on the doors.,A
The man is sitting on a chair. The man,He is tired from standing. ,He is walking to a lecture.,He is running a marathon.,is playing soccer.,A
There are a few days out of the week that are considered the weekend. Monday,is one of them.,is not one of them.,is the first day of the weekend.,is the last day of the weekend.,B
The frog croaks at the fly. The frog,rides the fly into the water.,jumps onto the back of the fly.,flicks out its tongue to eat it.,asks the fly to stop buzzing.,C
There are lots of software companies in the world like Microsoft and,American.,Google.,Nike.,Microsoft.,B
A man and woman are sitting on a stage together. They,are talking about the tango dance.,begin dancing around with the equipment.,resumes moving her hands faster and faster.,hold the cross around her and push them away.,A
Tina is bad at mathematics. Tina,teaches other students mathematics,plans to practice more.,represents her school to join the mathematics competition.,is happy.,B
The man gets thrown out of the bar by a bouncer. The man,walks back into the bar.,and the bouncer hang out.,drinks the beer the bouncer hands him.,gets up unsteadily.,D
The man and woman decided to get married to each other in November. The woman,merged onto the freeway.,threw a baseball back and forth with her friend.,decided to wear a red dress instead of a white one.,"read her book carefully, so she wouldn't miss a single detail.",C
A man puts lotion on his face with a brush. He,begins playing his instrument while continuing to play.,keeps down the brush and goes to his office.,then brushes the hair off and wipes it off.,begins shaving his beard with a razor.,D
A thug starts a fight with the bartender over a bar tab. The thug,starts yelling foul words,drinks the bar tab,drinks the bartender,hugs the bartender in fit of furious passion,A
The boy likes mechanics. He,likes linear algebra.,takes train to school.,likes physics.,likes machine learning.,C
The coach calls a timeout. He,breaks the floor.,lifts a dumbbell.,flexes his muscles.,draws up a plan.,D
The man could barely see the car in front of him during rush hour. The man,is driving in the rain.,reverses his car.,has bad hearing.,has great vision.,A
A cat passes by and pushes your mug off the table. It,apologizes for its behavior.,laughs at you and mocks you.,feels sorry and pays for your damage.,does not care and continues its day.,D
The woman is walking to the cinema. The woman,is learning to speak german.,dislikes movies.,is on a date.,is eating with her date at home.,C
Two boys race their remote control cars around a track. They,love trains.,are very competitive.,want to run faster.,don't like school.,B
"Tom likes to play games, but the deadline for the project is coming. So he will",go out for relaxation.,take a bath.,concentrate on his work.,play games happily.,C
A computer programmer is writing code. She,uses a debugger to solve her issue.,is programming the next apocalypse into her code.,really hates computers but loves cat tacos and this is her code.,"switches out her hard drive, eats it, and shreds her code.",A
He is the smartest person in the class. He,knows how to open a door,is easygoing,could answer the question in the course,always get angry,C
There is a cat sitting by the window. The cat,is bouncing up and down.,is looking outside wistfully.,smells terrible.,morphs into a dog who looks outside.,B
A zebra was drinking water. It,said hi to the fish.,spit water at a giraffe.,finished drinking and walked away.,was best friends with the water.,C
The baby was crying because her bottle was out of,milk,diapers,alcohol,crayons,A
He pours the pancake batter into the pan. He,jumps into an airplane,drops the pan onto a plate,stirs the dough with a screwdriver,lifts the pan and moves it around to mix the batter,D
A dog jumps in the air. He,is on a planet with lower gravity.,is shooting a commercial for Air Jordans.,is excited that Stacey is home from college.,has asked to be cast as the new Air Bud.,C
A fire broke out in the forest. It,lit up the night.,destroyed the lake.,cooked some bacon.,burned down some skyscrapers.,A
"At the stoke of the midnight hour, Pt. Jawaharlal Nehru said, ""India will awaken"". And the next day",it was cold and snowy and the visibility decreased in the mornings ever since,India got its independence after a hundred years of British rule,it was an Indian captain who lifted the world cup after twenty six years,"the USA sent its troops to India in search for culture and values, something that the people of USA had never experienced",B
The husband was unemployed and didn't go to work. The husband,went to work.,stayed at home to cook meals.,supported the family with his salary.,enjoyed the health benefits of employment.,B
There are lots of jobs if you graduated in computer science. I will be graduating in computer science this year so,I will not have any job.,I will not have a computer science job.,I will not have a life.,I will have a job.,D
A man wants to become a vegan. He,thinks his life is aimless.,can fit his whole fist in his mouth.,feels the pressure to graduate next year.,wants to help animals.,D
The bird flies over the hunter. The bird,falls to the ground.,drinks a beer.,flies into the moon.,waves at the hunter.,A
"After taping his fingers together, Rudy realized he",liked the taste of human flesh.,might struggle to play the piano.,could no longer wear mittens.,had gained a significant amount of weight.,B
You didn't do well on a quiz and are sad. You should,study more to do better next time,drink alcohol to feel happy and better,nap to feel better,cheat off your friend so that you do well,A
"She opens a bottle of energy drink and clutches it with both hands as she drinks. Wearing her sweatshirt and sweatpants, she",walks up a side walk.,"leans down, her arms folded.",crosses to a laundry room.,strides into the bathroom.,A
This summer is way too hot.,I wish I lived in Alaska.,I wish I lived in Puerto Rico.,I wish I lived in Mexico.,I wish I lived in California.,A
Diana has to buy bandages for herself. She,gets them from a convenience store,buys bandages from a drug dealer,forgets about the bandages,goes to a store to buy water,A
Paul was riding an elephant and accidentally fell off.  Paul,had a trunk and four legs.,never left the elephant's back.,vowed to never ride an elephant again.,asked the elephant to order him two milkshakes.,C
Rick is in high school and wants to study chemistry in college. He,writes a PhD thesis about the effects of gravity on hydrogen particles.,turns copper into gold.,discovers a new element in his lab by fusing Uranium with gold.,prepares for his college entrance exams.,D
"Global air traffic has been rising steadily for years and 2018 is no exception. Euromonitor International's research covers 600 cities and, they say, global inbound arrivals are",covers 600 cities,expected to grow by 5% this year,expected to decrease by 5% this year,expected to decrease steadily this year,B
Jasmine was born in the USA but grew up in Germany. She was originally from,Philadelphia,Xiamen,Saarbrucken,Edinburgh,A
A lady soaks her feet in bubbling water. The pedicurist,photo ends while someone lies in bed.,returns to the edge of the cot and smiles triumphantly.,"emerges, landing on top of a white super doll.",buffs her nails and rubs lotion over her feet and legs.,D
"Lee finishes a race, he",holds a party to celebrate his loss.,thinks it's a good experience.,runs across the sea.,eats his hands for some energy.,B
There is snow in New York City right now. Australia,is in hot summer right now.,has a snow storm coming.,likes to paint.,is swimming in the ocean.,A
His wallet was stolen. He,asked the thief to catch the police.,thought the thief is clever.,blamed his careless.,asked the thief to go away.,C
the pizza was just put into the classroom and is gone now. It,must have deteriorated,must have been consumed by the children.,must have evaporated.,must have gone bad.,B
Utkarsh is an industrious and perspicacious chap. He,stammers a lot though,is sleeping,is selected for his dream job,goes to yoga daily,C
The hunter took out his bow. The hunter,aimed it at the deer.,aimed it another bow.,aimed it a hunter.,smiled at a cloud.,A
Tina planned to cook dinner. Tina,liked her dog.,started to do the laundry.,started to grow vegetables in the yard.,drove to a supermarket to buy ingredients.,D
The man wears a suit for his interview. He feels,like he is wearing a tight dress,like he is about to cry,well dressed,tired,C
The elephant was drinking water. The elephant,is now drinking a large amount of soda from the river to quench its thirst.,drowned because it had not taken swim lessons.,snorkeled for the second time in its life.,observed the zebras waiting for their turn.,D
The dancer reluctantly takes the stage as a song begins to play. The dancer,has stage fright.,is eating her lunch.,takes a nap.,loves the dance.,A
My friend Subrat Mahapatra is running very late to class. He,is trying to be on time for the gym.,runs into his professor at the gym.,forgot to set his alarm to wake him up on time.,stops at Starbucks for coffee.,C
I dropped my phone on the floor. It's,broken.,misunderstood.,stolen.,hurt.,A
Evan does not like sports or social events. Evan,likes to stay at home,often play basketball with his friends,often joins parties,often goes to fitting room,A
A crowd of runners are gathered near the starting line prior to starting a race. They,each wash their hands,signal left and move into the passing lane,prepare to sprint forwards,"turn away from the starting line and relax, as the race is about to end.",C
My brother keeps stealing the toilet paper. I think,he believes every house is red.,He got a new job.,he's feeling blue.,he has no money.,D
"I am so hungry but I am on a diet, so I",need to do some exercise,need to hold on,need to play the piano,need to eat some food,B
Joseph is cooking dinner while waiting for his wife to come home. She,is playing with their children in the living room.,cuts the potatoes for the salad.,is cooking with him.,is still in a meeting at work.,D
I applied to Northwestern University. They,offered to pay for my tuition in full provided I solved P vs. NP by the end of my undergraduate studies.,accepted me because I bought the rights to the land where the University is located.,accepted me because I stood out from the other applicants.,accepted me because I had the exact same DNA as one of the original founders.,C
A girl saw a centipede on her bed. She,has a pet centipede that she keeps in her closet.,knows that centipedes are an insect.,screamed.,doesn't like her bed much because it is too hard.,C
"Chauncey did not expect former president Abraham Lincoln to attend his graduation party, because",Abraham Lincoln has been dead for decades.,he had not sent out invitations for the party.,the weather outside was very cold.,Chauncey is a pessimist.,A
Pastas are so filling. They,stuff me up very quickly.,are utensils.,could be used to fill up water tanks.,look so cute.,A
"I did not take a shower last night, because I",was dirty,was tired,need to be clean,can't sleep well,B
Drake loves to hate-watch corny TV shows. So Drake probably,hates watching movies.,hates watching TV.,enjoys TV every now and then.,won't watch TV today.,C
"Bob is taking a math exam in the classroom, he",draws a fly.,wants to fly.,is disturbed by a fly.,chat with a fly.,C
He puts ice cream and strawberries into a blender. He,then pours the resulting milkshake into a cup,puts more ice cream into the blender.,puts more strawberries into the blender,measures the contents in the blender,A
The girl gets ready for bed. She,throws a frisbee with her best friend.,decides to watch TV for another 3 hours.,plays Monopoly with her mom.,brushes her teeth and washes her face.,D
Kieran is a puppy. Kieran,is a giraffe.,is five year's old.,digests metal.,is a robot.,B
"Although Tom was overwhelmed and thought that reading a thousand pages a week was unimaginable, he",was sent to the hospital because he became crazy.,shredded the books and burned them.,left school and found a job.,finished the task finally.,D
A boy went to the school cafeteria. He,hit someone with his lunchbox,found his friends outside,threw away his homework,bought pizza,D
Evan is a fireman. Evan,often looks after his patients,often sets fire,often teaches his students,often sets off in hurry,D
A warrior finds a hungry group of goblins! She,readies her blade.,writes a poem.,falls asleep on the spot.,feeds them a home-cooked meal.,A
The girl just finished a chemistry lab at her university. She,is seven years old and wants to be a scientist when she grows up.,starts cooking dinner on the Bunsen burner.,goes to write the report.,is wearing a swimsuit.,C
The butterfly emerged from the cocoon. It,was eaten by a vegetarian.,danced to John Lennon.,chased the cat.,it emerged victorious in America's Got Talent.,C
"The eggs in George's tree finally hatched. George,",hatches an egg and places it in his tree.,opens the hatch to his basement.,opens the hatch to his attic.,tries to figure out what kind of birds they are.,D
The barista always had to get up early on Saturdays. She,threw a baseball back and forth with her friend.,arrived at work and began to brew coffee.,prepared to start the race.,got into the left hand turn lane and merged into traffic.,B
"I couldn’t find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because",it got full of ink.,it increased the risk of heart disease and stunt growth.,it became cold.,it turned my cold coffee into warm.,A
"I love going to the movies. The projector broke, so they replaced it with",a projector,a soda,popcorn,a pizza,A
Lucy was chasing ducks in the park. She,tripped on a flower,hid after hearing guns going off in the distance,found barking very annoying,missed her appointment with the dentist,B
The baby cried because her bottle was empty. It,was out of alcohol.,needed more crayons.,was out of milk.,needed more diapers.,C
The company is expecting high returns this year. It,saw costs increase by 100%,saw profits stay the same.,made great margins.,saw sales decline by 50%.,C
An old man watches a football game on television. The old man,opens a bank account.,celebrates as the home team wins.,makes money.,scores three touchdowns.,B
The ants are marching across the tile. They,are carrying food to their home.,want to be able to become the next humans.,want to get stepped on.,want to be their for their owners.,A
We are playing monopoly and it is my turn. I,roll the dice.,play my videogames.,dribble the ball and score.,curl up near the fire.,A
Ella is turning into her driveway. Ella,will go into her garage.,turns upside and hits her head.,is turning down an incredible job opportunity.,turns to the boy and asks him a question.,A
The child is reading Harry Potter. The child,is at disney world.,looks up a word.,is eating at a restaurant.,is at the cinema watching Harry Potter.,B
The girl was told to sing louder during rehearsal. The girl,did not sing the song.,lowered her voice during rehearsal.,began to sing louder.,started to dance.,C
A woman is riding her bike. She,transforms into a robot.,finds an apple inside a mailbox.,shifts to another gear when approaching the hill.,levitates down the street on her bike.,C
The surgeon went to the store. The surgeon,performed surgery.,checked my heart rate.,talked to a nurse.,bought groceries.,D
A kitchen full of chefs peels potatoes. They,peel each other.,set them aside to be cooked.,eat the potatoes.,throw the potatoes at the other chefs.,B
A loving couple is kissing each other. The girl,hugs the boy's money,holds the boy's hands,becomes a wife,is eating happily,B
The man is planning a surprise party for his friend. He,will sleep for a long time,will cook dinner and invite friends,will take his dog for a walk,will take his parents to temple.,B
The hungry tiger woke up. It started looking for,a soft couch.,twenty bucks.,food.,a pen and paper.,C
It got so dark at the baseball game that bats started flying around the outfield. I wanted,to run around the bases as fast as I could.,to leave because I don't like the animals.,to finally pitch a perfect game.,to hit the ball out of the park.,B
He just came back from a hard workout. He,was sweating,greeted his family,needs to soften up,was late,A
A deer bends down to eat some grass. The deer,chew loudly.,are satiated.,must be hungry.,throws a party.,C
A boy was pooped on by a bird. He,was upset.,cleaned the poop with his tears.,threw away all his clothes.,rubbed the poop on his enemy.,A
"The boy likes animals, but only invertebrates. He",likes pigs.,likes vertebrates.,likes spiders.,likes elephants.,C
My friends hits a weird shot that lands perfectly in the tennis court. He,tells he to stop playing tennis.,is really proud and does a fistpump.,breaks his racket but is very proud.,says sorry about doing that.,B
The herd of cows began to cross the street. One of them,threw a frisbee with her friend.,wandered away from the group and got hit by a car.,put on her blinker and switched into the left-hand turn lane.,ate three hamburgers at the restaurant.,B
John swims faster than Michael Phelps. He,swims at the state level.,drowned for no reason.,swam slower than a high schooler.,broke the 200 fly world record.,D
I crashed my car and broke my arm so I called,a doctor.,a friend.,a lawyer.,a mechanic.,A
A dog sits in front of the gate with its head up. A,cloud drifts in the sky,leaf lightly falls to the ground,car pulls up in front and the hound growls.,bird lands on a tree.,C
Waves are crashing on the shores of Evanston. They,undulate as nature dictates of waves.,wiggle up and down as they travel.,call out to each other to get on the bike.,respect the power of the waves crashing against the shore of Evanston.,A
A cashier is helping a customer. They,don't believe in Mondays but do believe in the customer.,apply the store's discount.,"ring a bell, play Jenga, and smack the customer.","run around the store, screaming, disregarding the customer.",B
"I want to earn Extra Credits for my class, so I",drop the class,don't do any extra work,increase my Credit score,writing one more assignment,D
A student on his way to class to submit his assignment hears the fire alarm in the building go off. He,goes to the bathroom.,goes to class to submit his homework.,calls his friend for dinner.,leaves the building through an exit.,D
"After being turned down by multiple women, Devin",decided to purchase fruit.,began to doubt his romantic prospects.,felt confident about his upcoming date.,visited the post office.,B
"I really enjoy eating snacks but I'm fat, so I have to",play ball,eat more,relax myself,go on a diet.,D
The group of people are working on training a machine learning system. The people,are productive when they are hardworking.,produce music like a piano,are not working at all,don't care about the cap,A
The chef drops the piece of shrimp in the fryer. The chef,chops the pan.,likes fried chicken.,touches the oil.,watches it sizzle.,D
Jimmy noticed his car was beginning to run out of gas. He,filled it with natural gas.,drove to the nearest police station.,drove to the nearest gas station.,filled the tank with water.,C
Mary scrolls through her Facebook newsfeed. She,likes a picture of an elephant.,throws her phone on the ground.,laughs at a eulogy post.,picks up a piece of paper.,A
We realized that the paper this morning was full of old uninteresting news stories. We decided to,scrutinize it to every last detail.,throw it away.,frame it to the living room wall.,fold it a few times.,B
The wind whistles through the trees. A leaf,stays in its seat.,listens to the melody.,puts on headphones.,flutters on its branch.,D
The headphones are playing music from a known band. The headphones,are on fire.,are black.,are hot.,is liquid.,B
The child wound up the toy as soon as she got it. She,really enjoyed playing with it.,needed a bandage.,was breaking it.,painted it a shade of green.,A
A man is running on a track inside the forest. He,gets hit by a truck while crossing the street.,accepts a job offer.,gets beaten up by monkeys.,adjusts his earphones.,D
A bird is sitting on a branch. It,"stares at its talons, orders pancakes from IHOP, and disintegrates on the branch.",is of a beautiful blue color.,"tweets and sings, lights bird seed on fire, and snaps the branch.","flaps its wings, recites Hamlet, and flies away from the branch.",B
many hard problems occurs in database course such as,database,singing,b+ trees,play baseball,C
The dog enters a laboratory. It,infuses a chemical mixture.,creates a laboratory experiment.,is immediately chased out by the security guard.,pours some chemicals.,C
A child has dyslexia. The child,always has trouble in writing and reading.,does not go to school.,is sad.,does not study.,A
The police pulled him over. The police,hit him and set a fire alarm.,told him that he can drive over the speed limit.,thought he is good at driving.,told him to drive slower.,D
Josie's computer has a virus. She should,break her laptop so she doesn't have a virus anymore,get it fixed from a store,ignore the virus and risk her information,demand her friends to fix is for her,B
The family goes to a vegan restaurant. They,get sorbet for dessert.,order a bacon and tofu dish.,order a steak and some soup.,order vegetables with sausage.,A
Joe has committed a crime. The state,provides a pension.,is Iowa.,gives him a cookie.,takes him in for questioning.,D
I bought some fuzzy socks. It,is like having a sock on the door.,will keep my feet toasty when I sleep.,was given to me by master. Dobby is a free elf.,will keep my feet cold when I sleep.,B
"He often goes to sleep early, he",thinks about his future.,stays up late very frequently.,is in good health.,likes to burn midnight oil.,C
It was flu season. The school nurse says to,wash your hands,wound soldiers,eat candy,go shopping,A
John scored the wrong soccer goal. His team,gave him ice cream.,cheer him on!,was very angry at him.,held him on their shoulders.,C
"The boy likes reading books, but non-fictions only. He",likes reading anything.,likes sciences.,likes machine learning.,likes reading fictions a lot.,B
I feel conflicted between taking my exam honestly and cheating on it. I should,root for the better team.,consider the consequences of academic dishonesty.,eat a big meal before the exam.,tell the professor about my dilemma.,B
Three students are sitting in the lobby of Library before the finals week. They,are playing a video game on the newly setup Nintendo Wii.,are discussing the reason why they are alive.,are playing hide and seek.,are watching the protesters that are furiously marching.,A
Professor Downey has solved the most difficult NLP problem. He is,sad that it was a difficult problem.,sad that he has solved the difficult problem.,very sad.,happy to have solved it.,D
The fox jumps over the dogs. The fox,punches the woods.,runs away.,eats a tree.,picks up the dogs.,B
Peter was hit by a car at the intersection. He,liked driving.,felt pain.,was hit by an ambulance .,owned an hospital.,B
Jimmy was beginning to feel a bit hungry. He,went to the store to get something to eat.,grabbed some food out of his wallet.,ate some finger jerky.,ate some food he printed out.,A
I walked into a store to buy some sports equipment. I,got attacked by some flying bats.,saw a giant bat fly around and cause a giant racket.,saw Dracula in the corner of the room.,needed some golf gloves.,D
There was a fly in my soup. I,bought a new pair of soup shoes.,asked for another helping of gelato.,was too shy to say anything.,watched my soup fly away.,C
Machine Learning is one of the most interesting and practical courses at Northwestern University. Machine Learning,is a combination of real world and unrealistic,is a statistics-based course,is a useful course,is a unrealistic course,C
"After waiting for 15 minutes, I walked up to the window and smiled at the person on the other side. I then gave them",window washing fluid to give to the manager.,smiling advice so they could be better employees.,a gift card to pay for my tickets.,a slap on the wrist.,C
Josh's hand is shaking from excitement as he writes. He,is writing a proof to a previously unsolved math question.,is writing a boring biography for his professor.,is writing a letter of apology to his mother for playing video games too much.,is writing his condolences to his friend for his dog's death.,A
Allie went to the zoo today. Allie,bought a t-shirt from the gift shop.,stole the zookeeper.,jumped on the gorillas.,then brought all the animals home.,A
The child happily runs around the playground. Suddenly he,keeps running with joy.,trips and dies.,stops to reflect on his life.,falls down and begins to cry.,D
I tried to teach my gecko how to program so that she could do my EECS 349 homework for me. She,"passed some of the coding tests, but not all of them.",told me that I should do my own homework.,crawled all over my laptop.,successfully finished my coding homework.,C
Joan can't decide what to wear. She,will never make up her mind.,gives up and goes clothes shopping.,asks her friend's opinion.,decides not to wear anything.,C
A man falls asleep in the office during a long day of work. The man then,calls his mom to tell her that he is asleep.,is abruptly awaken by his boss banging on his wooden desk.,calls his office phone to keep doing work while he is sleeping.,manages to give a presentation while asleep at his desk.,B
"There are so many excellent software companies, such as Facebook, Microsoft, Twitter, and",Microsoft,Facebook,Yelp,Twitter,C
A girl is going to a party. She doesn't want to be hungover so she decides to drink,wine,beer,water,vodka,C
The dogs roll around on the floor. They,want to get their bellies scratched.,just found a brand new stick to play fetch with.,haven't eaten in days and want to be fed.,are trying to catch the squirrel.,A
"Life is tough, but we have plenty of things to do. We",can do homework together.,have to continue fighting.,can take a short break.,might hate life.,B
I am on a walk in the park in the winter.,I pull my hat down over my ears.,I lay in the grass and bathe in the sun.,I look around and smell the flowers.,I stare at the leaves on the trees.,A
Jen said that the soda machine didn't work. This caused Ben to,defenestrate Jen.,instantly die.,lose interest in buying a drink.,begin writing his autobiography.,C
He does not buy a humidifier. He,had one,doesn't like the taste of humidifier,is walking on the street,think it is raining outside,A
During the winter the house was cold. After fixing the draft,the military grew.,the draft was made of house and cold.,it got warmer.,the paper improved.,C
"Molly was very hungry when she left work at the end of the day. Thus, Molly",ate her books.,ate her arm.,stopped at the grocery store.,ate her car.,C
The girl shovels the snow on her driveway. She,wants to be able to get her Mercedes out of the garage.,lets her neighbor shovel her driveway.,tries to break the shovel with the snow.,tries to get her brother to throw the snowblower away.,A
"I was on a boat, and the wind blew. My hair",changed color.,is straight.,was perfect.,became tangled.,D
A hungry boy is greeted by a very friendly man. The boy,is told to stop being hungry by the man.,is given food and some money by the man.,is told to get lost by the man.,is harassed by the man.,B
A school of whales was charging towards the shore. One of the whales,suddenly broke up from the school,led the school,had come ashore,jumped high above the ocean,C
An red elephant statue is sitting on a desk.  It,is a particularly bright shade of blue.,looks like an expensive antique carving.,is much larger than a skyscraper.,is motionless and green.,B
Most academics are familiar with the website Google Scholar. It,is concerned about your health and you should be responsible,is the go-to place for searching publications,has some health issues but it doesn't want to get treated,is smart and won many awards,B
A rat runs across a railing after a piece of cheese. The rat then,tickles itself.,the rewarded when it is eaten by the cheese.,realizes its mistake as it is crushed by a spring trap as it grabs the piece of cheese.,gets up and walks home,C
The assignment was to interview strangers about their love life. The students,loved it.,had trouble finding willing participants.,interviewed kindergarteners,had exciting love lives.,B
Kelley walks through the hall with a box of freshly baked donuts. She,throws them in the trash.,smashes the box against a wall.,eats a cupcake.,is approached by a ton of her friends.,D
The girl is working on the company's spreadsheet. She,is working very quickly so that she can go back to Mars after her job.,spreads her cream cheese onto her bagel.,will put the company in her pocket.,is very good with Excel.,D
Peter just became a father yesterday. His child,likes sleeping.,is the father of Peter.,became a father.,is one year old.,A
